ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
41;NACIONAL;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;10398;0;0;0;0;262;0;262;300
42;NACIONAL;CAJAMARCA;CAJAMARCA;CHETILLA;FERNANDO BELAUNDE TERRY;10869;158;0;158;0;0;0;158;255
43;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IE 82469 CHUGUR;900829;208;1;209;1;9;0;219;280
44;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IES VISTA ALEGRE;900832;152;1;153;3;15;0;171;219
45;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE 10470 VICTOR A. SANCHEZ OLANO;12044;108;1;109;0;6;0;115;218
46;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE ARTURO OSORES CABRERA;12040;180;0;180;0;7;0;187;300
47;NACIONAL;CAJAMARCA;CHOTA;CHALAMARCA;IE 10892 JOSE FREDESVINDO VASQUEZ ACUÑA;12276;235;1;236;0;7;0;243;300
48;NACIONAL;CAJAMARCA;CHOTA;CHIGUIRIP;IE FRANCISCO CADENILLAS GALVEZ;12096;160;1;161;0;23;0;184;283
49;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;12102;150;1;151;0;9;0;160;300
50;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;12103;161;0;161;0;4;0;165;300
51;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE RAUL PORRES BARRENECHEA;12106;104;1;105;0;1;0;106;249
52;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12262;144;1;145;0;1;0;146;279
53;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12264;127;1;128;0;6;0;134;279
54;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12265;150;0;150;2;2;0;154;279
55;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12267;168;1;169;0;0;0;169;279
56;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10446 SALOMON DIAZ;12226;183;0;183;0;19;0;202;300
57;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900900;190;1;191;0;7;0;198;278
58;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900903;170;0;170;1;0;0;171;277
59;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10460 LA PUCARA;900904;200;0;200;0;2;0;202;277
60;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;12243;243;0;243;0;3;0;246;300
61;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE VICTOR ANTONIO HERRERA DELGADO;12245;208;0;208;0;0;0;208;300
62;NACIONAL;CAJAMARCA;HUALGAYOC;BAMBAMARCA;IE VICTOR RAUL HAYA DE LA TORRE;12424;251;0;251;0;0;0;251;300
63;NACIONAL;CAJAMARCA;HUALGAYOC;HUALGAYOC;IE ANDRÉS AVELINO CÁCERES;12499;81;0;81;0;1;0;82;89
64;NACIONAL;CAJAMARCA;JAEN;JAEN;IE. JAEN BRACAMOROS;12671;0;0;0;0;205;0;205;300
65;NACIONAL;CAJAMARCA;JAEN;JAEN;SAN AGUSTIN;12779;0;0;0;0;228;0;228;300
66;NACIONAL;CAJAMARCA;SAN IGNACIO;HUARANGO;ESTADIO MUNICIPAL;13376;187;0;187;0;0;0;187;300
67;NACIONAL;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;IE 82248;13642;0;0;0;0;148;0;148;300
68;NACIONAL;CALLAO;CALLAO;BELLAVISTA;COMPLEJO DEPORTIVO SEÑOR DE LOS MILAGROS;77402;0;0;0;0;234;0;234;300
69;NACIONAL;CALLAO;CALLAO;CALLAO;IE 5095 JULIO RAMON RIBEYRO;76758;0;0;0;0;264;0;264;300
70;NACIONAL;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76322;0;0;0;0;244;0;244;300
71;NACIONAL;CALLAO;CALLAO;CALLAO;LOSA DEPORTIVA LOS OLIMPICOS;76449;0;0;0;0;294;0;294;300
72;NACIONAL;CALLAO;CALLAO;LA PERLA;ESTADIO CAMPOLO ALCALDE;77625;0;0;0;0;233;0;233;300
73;NACIONAL;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;78579;0;0;0;0;244;0;244;300
74;NACIONAL;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;78613;0;0;0;0;256;0;256;300
75;NACIONAL;CUSCO;CANAS;CHECCA;IE 56127;15356;175;0;175;0;6;0;181;260
76;NACIONAL;CUSCO;CANAS;CHECCA;IE ALTIVA CANAS DE CHITIBAMBA - NIVEL SECUNDARIO;901119;169;1;170;2;3;0;175;213
77;NACIONAL;CUSCO;CANAS;CHECCA;IE SAN ANDRES;15358;220;1;221;0;7;0;228;300
78;NACIONAL;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;15406;136;1;137;0;6;0;143;216
79;NACIONAL;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;15590;0;0;0;0;202;0;202;282
80;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15791;229;1;230;0;5;0;235;300
81;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15794;221;1;222;0;3;0;225;300
82;NACIONAL;CUSCO;CHUMBIVILCAS;CHAMACA;IE DANIEL ALCIDES CARRION;15799;216;0;216;0;2;0;218;300
83;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;15779;209;0;209;0;18;0;227;300
84;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE 56257 COLQUEMARCA;15783;219;1;220;0;9;0;229;300
85;NACIONAL;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO N°56324;901132;209;0;209;5;8;0;222;289
86;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE 56377 CHILLOROYA;901144;160;1;161;0;6;0;167;215
87;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE INTEGRADO 56266 LIVITACA;15817;206;1;207;0;8;0;215;300
88;NACIONAL;CUSCO;CHUMBIVILCAS;LIVITACA;IE SAN BARTOLOME;901146;183;1;184;2;5;0;191;236
89;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15829;203;1;204;2;2;0;208;300
90;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15831;226;1;227;2;9;0;238;300
91;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15832;210;0;210;0;7;0;217;300
92;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15837;200;1;201;2;9;0;212;300
93;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15838;207;0;207;0;1;0;208;300
94;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15841;205;0;205;1;8;0;214;300
95;NACIONAL;CUSCO;CHUMBIVILCAS;QUIÑOTA;IE 56272 MILAGROSO SEÑOR DE HUANCA;15845;199;1;200;2;3;0;205;296
96;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE 56319 ROSA DE SANTA MARIA;15702;151;1;152;1;5;0;158;264
97;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE ANTERO EFRAIN UGARTE VIZCARRA;901126;193;1;194;5;6;0;205;265
98;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE EMBLEMATICO SANTO TOMAS;15719;201;1;202;3;13;0;218;300
99;NACIONAL;CUSCO;CUSCO;CUSCO;50019;13949;0;0;0;0;245;0;245;300
100;NACIONAL;CUSCO;CUSCO;SANTIAGO;IE GRAN MARISCAL ANDRES AVELINO CACERES;14482;175;0;175;55;14;0;244;300
101;NACIONAL;CUSCO;ESPINAR;COPORAQUE;I.E.N. 501392 MACHUPUENTE;901156;223;1;224;3;4;0;231;276
102;NACIONAL;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;16529;173;0;173;3;6;0;182;283
103;NACIONAL;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;16532;168;1;169;4;6;0;179;282
104;NACIONAL;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;IE 50477;16703;0;0;0;0;212;0;212;300
