ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
48;NACIONAL;APURIMAC;COTABAMBAS;HAQUIRA;IE N.º 50684 JOSÉ CARLOS MARIÁTEGUI - PRIMARIA;900510;175;0;175;0;15;0;190;232
49;NACIONAL;AREQUIPA;AREQUIPA;CERRO COLORADO;PASTORCITOS;5437;45;2;47;0;5;0;52;55
50;NACIONAL;AREQUIPA;CASTILLA;CHOCO;IE 40354 UCUCHACHAS;900560;50;0;50;0;4;0;54;87
51;NACIONAL;AREQUIPA;CONDESUYOS;CAYARANI;IE 40459 SAN ROQUE;900562;122;2;124;3;12;0;139;226
52;NACIONAL;AYACUCHO;HUAMANGA;AYACUCHO;IEPE SAN RAMON;8945;0;0;0;0;265;0;265;300
53;NACIONAL;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;IEP JEAN PIAGET;9144;241;2;243;0;2;0;245;300
54;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900588;191;0;191;2;12;0;205;261
55;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE 38050 ARISTIDES GUILLEN VALDIVIA;900591;189;1;190;0;18;0;208;262
56;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE MIXTO HAYA DE LA TORRE SECUNDARIA;900598;223;2;225;0;3;0;228;278
57;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IE MIXTO HAYA DE LA TORRE SECUNDARIA;900599;217;2;219;0;0;0;219;278
58;NACIONAL;AYACUCHO;HUAMANGA;VINCHOS;IEP JOSE DE SAN MARTIN;9210;212;0;212;9;0;0;221;300
59;NACIONAL;AYACUCHO;HUANCA SANCOS;CARAPO;IE 38472 MX MANCHIRI;900717;131;1;132;0;6;0;138;197
60;NACIONAL;AYACUCHO;HUANTA;IGUAIN;IE CARLOS CH. HIRAOKA;9619;181;0;181;0;27;0;208;288
61;NACIONAL;AYACUCHO;LA MAR;ANCO;IE FRANCISCO DE ZELA;9752;121;1;122;0;8;0;130;296
62;NACIONAL;AYACUCHO;LA MAR;ANCO;IE VIRGEN DE LAS NIEVES;900652;119;2;121;1;0;0;122;151
63;NACIONAL;AYACUCHO;LA MAR;ANCO;IEI 383;900653;100;2;102;0;10;0;112;167
64;NACIONAL;AYACUCHO;LA MAR;SANTA ROSA;IEP JOSE GALVEZ;9863;44;2;46;0;0;0;46;53
65;NACIONAL;AYACUCHO;VICTOR FAJARDO;SARHUA;IE 38530 MXP JOSE RODOLFO SABOGAL WISSE;900705;114;1;115;1;5;0;121;154
66;NACIONAL;AYACUCHO;VICTOR FAJARDO;SARHUA;IE 38530 MXP JOSE RODOLFO SABOGAL WISSE;900706;110;2;112;2;3;0;117;154
67;NACIONAL;CAJAMARCA;CAJABAMBA;CONDEBAMBA;IE 821019 MALCAS;900798;0;0;0;0;198;0;198;252
68;NACIONAL;CAJAMARCA;CAJAMARCA;CAJAMARCA;PLATAFORMA DEPORTIVA RAMON CASTILLA;10398;0;0;0;0;262;0;262;300
69;NACIONAL;CAJAMARCA;CAJAMARCA;CHETILLA;FERNANDO BELAUNDE TERRY;10869;158;0;158;0;0;0;158;255
70;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IE 82469 CHUGUR;900828;215;2;217;1;1;0;219;279
71;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IE 82469 CHUGUR;900829;208;1;209;1;9;0;219;280
72;NACIONAL;CAJAMARCA;CELENDIN;HUASMIN;IES VISTA ALEGRE;900832;152;1;153;3;15;0;171;219
73;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE 10470 VICTOR A. SANCHEZ OLANO;12044;108;1;109;0;6;0;115;218
74;NACIONAL;CAJAMARCA;CHOTA;ANGUIA;IE ARTURO OSORES CABRERA;12040;180;0;180;0;7;0;187;300
75;NACIONAL;CAJAMARCA;CHOTA;CHALAMARCA;IE 10892 JOSE FREDESVINDO VASQUEZ ACUÑA;12276;235;1;236;0;7;0;243;300
76;NACIONAL;CAJAMARCA;CHOTA;CHIGUIRIP;IE FRANCISCO CADENILLAS GALVEZ;12096;160;1;161;0;23;0;184;283
77;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;12102;150;1;151;0;9;0;160;300
78;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE 10509;12103;161;0;161;0;4;0;165;300
79;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE RAUL PORRES BARRENECHEA;12105;70;2;72;0;2;0;74;250
80;NACIONAL;CAJAMARCA;CHOTA;CHIMBAN;IE RAUL PORRES BARRENECHEA;12106;104;1;105;0;1;0;106;249
81;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12261;119;2;121;0;2;0;123;279
82;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12262;144;1;145;0;1;0;146;279
83;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12264;127;1;128;0;6;0;134;279
84;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12265;150;0;150;2;2;0;154;279
85;NACIONAL;CAJAMARCA;CHOTA;CHOROPAMPA;IE SAN FRANCISCO;12267;168;1;169;0;0;0;169;279
86;NACIONAL;CAJAMARCA;CHOTA;TACABAMBA;IE 10446 SALOMON DIAZ;12226;183;0;183;0;19;0;202;300
