ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
114;CALLAO;CALLAO;MI PERU;5119 VILLA EMILIA;078579;0;0;0;0;244;0;244;300
115;CALLAO;CALLAO;MI PERU;IE 33 FE Y ALEGRIA;078613;0;0;0;0;256;0;256;300
116;CUSCO;ACOMAYO;MOSOC LLACTA;IE INTEGRADO DANIEL ESTRADA PEREZ;014981;173;2;175;0;2;0;177;226
117;CUSCO;ACOMAYO;POMACANCHI;IE 50056 TUPAC AMARU;014948;192;2;194;0;0;0;194;287
118;CUSCO;CALCA;LARES;IE CESAR VALLEJO;015246;189;2;191;2;4;0;197;288
119;CUSCO;CALCA;PISAC;IE 50178 MIXTO BERNARDO TAMBOHUACSO;015260;222;2;224;0;27;0;251;300
120;CUSCO;CANAS;CHECCA;IE 56127;015356;175;0;175;0;6;0;181;260
121;CUSCO;CANAS;CHECCA;IE ALTIVA CANAS DE CHITIBAMBA - NIVEL SECUNDARIO;901119;169;1;170;2;3;0;175;213
122;CUSCO;CANAS;CHECCA;IE SAN ANDRES;015358;220;1;221;0;7;0;228;300
123;CUSCO;CANAS;CHECCA;IE SAN ANDRES;015367;221;2;223;1;0;0;224;300
124;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;015406;136;1;137;0;6;0;143;216
125;CUSCO;CANAS;LAYO;TECNICO AGROPECUARIO;015407;149;2;151;1;5;0;157;216
126;CUSCO;CANAS;QUEHUE;IE 56122 HIPOLITO TUPAC AMARU;901121;179;2;181;1;1;0;183;212
127;CUSCO;CANAS;TUPAC AMARU;IE 56114 FERNANDO TUPAC AMARU;015424;206;2;208;1;6;0;215;277
128;CUSCO;CANAS;YANAOCA;IE INTEGRADO RICARDO PALMA;901117;131;2;133;1;4;0;138;152
129;CUSCO;CANCHIS;COMBAPATA;JERONIMO ZAVALA;015590;0;0;0;0;202;0;202;282
130;CUSCO;CANCHIS;MARANGANI;56025;015620;238;2;240;0;1;0;241;300
131;CUSCO;CHUMBIVILCAS;CHAMACA;IE 56263 SAN ANTONIO;015785;126;2;128;1;6;0;135;218
