ID;Departamento;Provincia;Distrito;Localidad;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
52;CUSCO;CHUMBIVILCAS;COLQUEMARCA;IE INTEGRADO N°56324;901132;209;0;209;5;8;0;222;289
53;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015832;210;0;210;0;7;0;217;300
54;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015838;207;0;207;0;1;0;208;300
55;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;015841;205;0;205;1;8;0;214;300
56;CUSCO;CUSCO;CUSCO;50019;013949;0;0;0;0;245;0;245;300
57;CUSCO;CUSCO;SANTIAGO;IE GRAN MARISCAL ANDRES AVELINO CACERES;014482;175;0;175;55;14;0;244;300
58;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;016529;173;0;173;3;6;0;182;283
59;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;IE 50477;016703;0;0;0;0;212;0;212;300
60;CUSCO;QUISPICANCHI;OCONGATE;SAGRADO CORAZON DE JESUS;016839;189;0;189;0;14;0;203;282
61;CUSCO;QUISPICANCHI;QUIQUIJANA;JOSE CARLOS MARIATEGUI;016887;247;0;247;1;0;0;248;300
62;CUSCO;URUBAMBA;CHINCHERO;IE PARTICULAR ALTERNATIVO YACHAY;016953;224;0;224;0;23;0;247;298
63;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;017504;200;0;200;0;5;0;205;300
64;HUANCAVELICA;CHURCAMPA;COSME;IE 30979 THOMAS ALVA EDISON;017992;0;0;0;0;83;0;83;275
65;HUANCAVELICA;HUANCAVELICA;ACORIA;I.E.S. JOSE GALVEZ EGUSQUIZA;017211;153;0;153;0;4;0;157;299
